competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2019,1,Arena do Grêmio,visitante,SANTOS - SP,pro,Eduardo Sasha,5' (1ºT),5.0
Brasileirao,2019,1,Arena do Grêmio,visitante,SANTOS - SP,pro,Felipe,35' (1ºT),35.0
Brasileirao,2019,1,Arena do Grêmio,mandante,GREMIO - RS,pro,Everton,45+3' (2ºT),90.5
Brasileirao,2019,2,Independência,mandante,ATLETICO - MG,pro,Fabio Santos,45+1' (1ºT),45.5
Brasileirao,2019,2,Independência,visitante,AVAI - SC,pro,Brizuela,2' (2ºT),47.0
Brasileirao,2019,2,Independência,mandante,ATLETICO - MG,pro,Ricardo Oliveira,7' (2ºT),52.0
Brasileirao,2019,3,Arena Castelão,mandante,CEARA - CE,pro,Ricardo Bueno,20' (1ºT),20.0
Brasileirao,2019,3,Arena Castelão,mandante,CEARA - CE,pro,Leandro,33' (1ºT),33.0
Brasileirao,2019,3,Arena Castelão,mandante,CEARA - CE,pro,Joao Lucas,36' (2ºT),81.0
Brasileirao,2019,3,Arena Castelão,mandante,CEARA - CE,pro,Ricardo Bueno,43' (2ºT),88.0
Brasileirao,2019,4,Allianz Parque,mandante,PALMEIRAS - SP,pro,Ze Rafael,16' (1ºT),16.0
Brasileirao,2019,4,Allianz Parque,mandante,PALMEIRAS - SP,pro,Marcos Rocha,13' (2ºT),58.0
Brasileirao,2019,4,Allianz Parque,mandante,PALMEIRAS - SP,pro,Ze Rafael,25' (2ºT),70.0
Brasileirao,2019,4,Allianz Parque,mandante,PALMEIRAS - SP,pro,Bruno,45' (2ºT),90.0
Brasileirao,2019,5,Morumbi,mandante,SAO PAULO - SP,pro,Everton,40' (1ºT),40.0
Brasileirao,2019,5,Morumbi,mandante,SAO PAULO - SP,pro,Hudson,37' (2ºT),82.0
Brasileirao,2019,6,Maracanã,visitante,CRUZEIRO - MG,pro,Pedro Rocha,39' (1ºT),39.0
Brasileirao,2019,6,Maracanã,mandante,FLAMENGO - RJ,pro,Bruno Henrique,40' (1ºT),40.0
Brasileirao,2019,6,Maracanã,mandante,FLAMENGO - RJ,pro,Bruno Henrique,22' (2ºT),67.0
Brasileirao,2019,6,Maracanã,mandante,FLAMENGO - RJ,pro,Gabriel Barbosa,44' (2ºT),89.0
Brasileirao,2019,7,Maracanã,visitante,GOIAS - GO,pro,Rafael Vaz,44' (2ºT),89.0
Brasileirao,2019,8,Arena Condá,mandante,CHAPECOENSE - SC,pro,Everaldo,45+2' (1ºT),45.5
Brasileirao,2019,8,Arena Condá,mandante,CHAPECOENSE - SC,pro,Everaldo,42' (2ºT),87.0
Brasileirao,2019,9,Arena Fonte Nova,mandante,BAHIA - BA,pro,Arthur Caike,45+3' (1ºT),45.5
