competicao,temporada,id_partida,estadio,campo,equipe,pro_contra,jogador,minuto_str,minuto_num
Brasileirao,2015,1,Allianz Parque,visitante,ATLETICO - MG,pro,Patric,7' (2ºT),52.0
Brasileirao,2015,1,Allianz Parque,mandante,PALMEIRAS - SP,pro,Vitor Hugo,36' (2ºT),81.0
Brasileirao,2015,1,Allianz Parque,visitante,ATLETICO - MG,pro,Jo,40' (2ºT),85.0
Brasileirao,2015,1,Allianz Parque,mandante,PALMEIRAS - SP,pro,Rafael Marques,45+4' (2ºT),90.5
Brasileirao,2015,2,Arena Condá,visitante,CORITIBA - PR,pro,Rafhael Lucas,2' (1ºT),2.0
Brasileirao,2015,2,Arena Condá,mandante,CHAPECOENSE - SC,pro,Elicarlos,29' (1ºT),29.0
Brasileirao,2015,2,Arena Condá,mandante,CHAPECOENSE - SC,pro,Roger,20' (2ºT),65.0
Brasileirao,2015,3,Maracanã,mandante,FLUMINENSE - RJ,pro,Vinicius,43' (2ºT),88.0
Brasileirao,2015,4,Morumbi,mandante,SAO PAULO - SP,pro,Luis Fabiano,28' (2ºT),73.0
Brasileirao,2015,4,Morumbi,mandante,SAO PAULO - SP,pro,Alexandre Pato,34' (2ºT),79.0
Brasileirao,2015,4,Morumbi,visitante,FLAMENGO - RJ,pro,Everton,40' (2ºT),85.0
Brasileirao,2015,5,Arena Pantanal,visitante,CORINTHIANS - SP,pro,Angel Romero,37' (2ºT),82.0
Brasileirao,2015,6,Arena da Baixada,mandante,ATLETICO - PR,pro,Walter,14' (1ºT),14.0
Brasileirao,2015,6,Arena da Baixada,mandante,ATLETICO - PR,pro,Felipe,20' (2ºT),65.0
Brasileirao,2015,6,Arena da Baixada,mandante,ATLETICO - PR,contra,Paulão,24' (2ºT),69.0
Brasileirao,2015,7,Ilha do Retiro,mandante,SPORT - PE,pro,Matheus Ferraz,19' (1ºT),19.0
Brasileirao,2015,7,Ilha do Retiro,mandante,SPORT - PE,pro,Diego Souza,18' (2ºT),63.0
Brasileirao,2015,7,Ilha do Retiro,visitante,FIGUEIRENSE - SC,contra,Rene,22' (2ºT),67.0
Brasileirao,2015,7,Ilha do Retiro,mandante,SPORT - PE,pro,Diego Souza,32' (2ºT),77.0
Brasileirao,2015,7,Ilha do Retiro,mandante,SPORT - PE,pro,Regis,42' (2ºT),87.0
Brasileirao,2015,9,Arena do Grêmio,mandante,GREMIO - RS,pro,Yuri Mamute,24' (1ºT),24.0
Brasileirao,2015,9,Arena do Grêmio,mandante,GREMIO - RS,pro,Yuri Mamute,8' (2ºT),53.0
Brasileirao,2015,9,Arena do Grêmio,visitante,PONTE PRETA - SP,pro,Renato Caja,16' (2ºT),61.0
Brasileirao,2015,9,Arena do Grêmio,visitante,PONTE PRETA - SP,pro,Rildo,18' (2ºT),63.0
Brasileirao,2015,9,Arena do Grêmio,mandante,GREMIO - RS,pro,Matias,32' (2ºT),77.0
Brasileirao,2015,9,Arena do Grêmio,visitante,PONTE PRETA - SP,pro,Diego,45+4' (2ºT),90.5
Brasileirao,2015,10,Ressacada,visitante,SANTOS - SP,pro,Robinho,26' (1ºT),26.0
Brasileirao,2015,10,Ressacada,mandante,AVAI - SC,pro,Marquinhos,19' (2ºT),64.0
Brasileirao,2015,11,Couto Pereira,mandante,CORITIBA - PR,pro,Thiago Galhardo,27' (1ºT),27.0
Brasileirao,2015,11,Couto Pereira,mandante,CORITIBA - PR,contra,Erazo,33' (1ºT),33.0
Brasileirao,2015,12,Serra Dourada,mandante,GOIAS - GO,pro,Bruno Henrique,9' (2ºT),54.0
Brasileirao,2015,12,Serra Dourada,mandante,GOIAS - GO,pro,Bruno Henrique,35' (2ºT),80.0
Brasileirao,2015,13,Fonte Luminosa,mandante,CORINTHIANS - SP,pro,Fabio Santos,28' (1ºT),28.0
Brasileirao,2015,14,Maracanã,visitante,SPORT - PE,pro,Diego Souza,45+1' (1ºT),45.5
Brasileirao,2015,14,Maracanã,visitante,SPORT - PE,pro,Elber,23' (2ºT),68.0
Brasileirao,2015,14,Maracanã,mandante,FLAMENGO - RJ,pro,Hector,28' (2ºT),73.0
Brasileirao,2015,14,Maracanã,mandante,FLAMENGO - RJ,pro,Everton,40' (2ºT),85.0
Brasileirao,2015,15,Vila Belmiro,mandante,SANTOS - SP,pro,Geuvanio,44' (1ºT),44.0
Brasileirao,2015,16,Mané Garrincha,mandante,ATLETICO - MG,pro,Jemerson,6' (1ºT),6.0
Brasileirao,2015,16,Mané Garrincha,mandante,ATLETICO - MG,pro,Jemerson,37' (1ºT),37.0
Brasileirao,2015,16,Mané Garrincha,mandante,ATLETICO - MG,pro,Datolo,7' (2ºT),52.0
Brasileirao,2015,16,Mané Garrincha,mandante,ATLETICO - MG,pro,Luan,35' (2ºT),80.0
Brasileirao,2015,16,Mané Garrincha,visitante,FLUMINENSE - RJ,pro,Fred,43' (2ºT),88.0
Brasileirao,2015,18,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Renato Caja,14' (1ºT),14.0
Brasileirao,2015,19,Beira-Rio,mandante,INTERNACIONAL - RS,pro,Vitinho,18' (2ºT),63.0
Brasileirao,2015,21,Morumbi,mandante,SAO PAULO - SP,pro,Matheus,10' (1ºT),10.0
Brasileirao,2015,21,Morumbi,mandante,SAO PAULO - SP,pro,Michel Bastos,13' (2ºT),58.0
Brasileirao,2015,21,Morumbi,mandante,SAO PAULO - SP,pro,Alexandre Pato,41' (2ºT),86.0
Brasileirao,2015,22,São Januário,visitante,INTERNACIONAL - RS,pro,Nilmar,45+1' (1ºT),45.5
Brasileirao,2015,22,São Januário,mandante,VASCO DA GAMA - RJ,pro,Lucas Siqueira,36' (2ºT),81.0
Brasileirao,2015,23,Arena do Grêmio,mandante,GREMIO - RS,pro,Braian Rodriguez,33' (2ºT),78.0
Brasileirao,2015,25,Ressacada,mandante,AVAI - SC,pro,HUGO CABRAL,1' (2ºT),46.0
Brasileirao,2015,25,Ressacada,visitante,FLAMENGO - RJ,pro,Gabriel,5' (2ºT),50.0
Brasileirao,2015,25,Ressacada,mandante,AVAI - SC,pro,HUGO CABRAL,17' (2ºT),62.0
Brasileirao,2015,26,Arena da Baixada,mandante,ATLETICO - PR,pro,Douglas,39' (1ºT),39.0
Brasileirao,2015,27,Arena Condá,mandante,CHAPECOENSE - SC,pro,Apodi,20' (1ºT),20.0
Brasileirao,2015,28,Allianz Parque,visitante,GOIAS - GO,contra,Victor Ramos,31' (2ºT),76.0
Brasileirao,2015,29,Mineirão,mandante,CRUZEIRO - MG,pro,Charles,37' (2ºT),82.0
Brasileirao,2015,29,Mineirão,visitante,PONTE PRETA - SP,pro,Diego,39' (2ºT),84.0
Brasileirao,2015,30,Ilha do Retiro,mandante,SPORT - PE,pro,Neto,28' (1ºT),28.0
Brasileirao,2015,31,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Tiago,6' (1ºT),6.0
Brasileirao,2015,31,Moisés Lucarelli,mandante,PONTE PRETA - SP,pro,Diego,2' (2ºT),47.0
